"Qty","Part Number","Reference","Value"
"1","732-4199-ND","L1","WE-TI_1014"
"1","56-NTCLP450E3104H-ND","TH1","Thermistor_NTC"
"1","SMBJ48A-FDICT-ND","D9","SMBJ48A-13-F"
"1","31-SMBJ170A-13-FCT-ND","D3","SMBJ170A-13-F"
"1","2648-SC0914(13)CT-ND","U7","RP2040"
"1","1589-MP9989GV-ZCT-ND","U2","MP9989GV-Z"
"1","505-LT3799EMSE#PBF-ND","U1","LT3799EMSE-PBF"
"1","296-53036-1-ND","U3","LMR36006BRNXT"
"1","976-BXRH-40H1000-B-83-ND","D14","LED"
"2","296-ISOM8118DFHRCT-ND","U5,U6","ISOM8118DFHR"
"1","448-IGLR65R200D2XUMA1CT-ND","Q1","IGLR65R200D2"
"1","486-4031-ND","J1","IEC_60320_C6_Receptacle"
"1","FDMQ8205AOSCT-ND","U4","FDMQ8205A"
"2","1N4148WTDICT-ND","D12,D13","D"
"1","448-CY8C20646A-24LQXI-ND","U8","CY8C20666A-24LQXI"
"1","","J3","Conn_ARM_SWD_TagConnect_TC2030-NL"
"2","PRT-14417-ND","J2,J5","Conn_01x04_MountingPin"
"1","1514-CMR1U-10MTR13PBFREECT-ND","D4","CMR1U-10M TR13 PBFREE"
"1","118-CD-DF406SLCT-ND","D1","CD-DF406SL"
"2","BAV20W-FDICT-ND","D5,D8","BAV20"
"1","495-5744-ND","FL1","B82731H2701A030"
"1","1265-AT25FF081A-SSHN-B-ND","U9","AT25xxx"
"1","P19889CT-ND","S1","435171014816"
"1","732-830070868CT-ND","Y1","830070868"
"1","1297-750817251-ND","T1","750817251"
"1","10-ERJ-S12J105UCT-ND","R10","1M"
"1","13-RC2010FK-07499KLCT-ND","R1","500k"
"1","13-RC2010JK-07100KLCT-ND","R32","100k"
"1","541-4187-1-ND","R27","20k"
"1","732-13263-1-ND","RV1","620V"
"4","1727-6235-1-ND","D6,D7,D10,D11","15v"
"1","1727-8343-1-ND","D2","3.425"
"1","WSLC-.03CT-ND","R8","30m"
"2","UBT1J331MHD8-ND","C10,C11","330u"
"1","732-4871-1-ND","L2","33u"
"3","1276-6767-1-ND","C23,C32,C33","10u"
"1","732-9289-1-ND","C3","10u"
"3","1276-6482-1-ND","C27,C28,C34","0.47u"
"1","732-890414025003CS-ND","C2","0.22u"
"1","732-5733-ND","C1","0.1u"
"1","BC3229-ND","C20","2.2n"
